feature_1,feature_2,feature_3,feature_4,feature_5,target
97,164,258,17,48,1
27,103,173,18,20,1
41,9,172,7,68,1
44,1,423,22,48,1
45,59,207,8,31,0
97,29,100,3,18,1
91,197,499,13,62,0
30,129,342,2,17,0
79,55,90,14,35,1
21,146,93,6,51,0
67,150,266,7,37,0
47,3,53,19,50,0
45,1,159,19,56,1
15,197,490,6,23,0
57,196,345,20,52,0
41,42,266,8,46,0
23,29,241,18,37,1
22,41,281,16,58,1
47,29,313,3,26,1
45,150,326,2,66,1
39,165,442,4,17,1
78,153,351,18,22,0
91,154,77,21,69,1
58,161,314,23,60,1
37,102,322,18,42,1
68,185,326,8,35,0
74,118,114,2,21,0
20,65,351,2,9,0
21,128,439,15,5,0
36,130,174,14,64,1
68,98,60,19,51,1
90,175,86,16,9,0
56,68,420,20,24,1
30,139,260,9,39,1
92,130,147,11,43,1
39,88,86,20,24,1
29,24,254,10,4,1
20,76,171,22,56,0
23,69,499,15,48,1
30,93,423,13,10,0
93,191,134,8,38,1
38,81,79,7,37,1
89,185,412,17,49,0
53,131,415,9,39,0
85,110,158,13,68,0
25,120,333,2,59,0
78,196,231,11,55,1
14,55,467,8,60,1
87,51,99,7,32,0
19,156,98,9,33,1
63,68,496,16,47,1
54,109,176,7,18,1
31,96,270,23,28,1
58,136,167,11,20,1
87,37,115,21,37,1
38,5,380,11,7,0
100,193,84,17,49,1
53,13,382,23,20,1
22,41,392,13,26,0
44,161,292,19,29,1
94,165,219,3,34,1
13,168,85,3,42,0
37,194,393,14,46,0
24,199,475,11,16,1
96,17,340,5,12,0
95,28,451,22,32,0
58,117,298,4,46,0
79,138,320,14,30,1
13,68,387,18,18,1
83,175,80,6,35,1
