feature_1,feature_2,feature_3,feature_4,feature_5,target
91,197,499,13,62,0
55,175,111,5,5,0
10,103,436,6,36,1
64,81,298,15,24,0
21,128,439,15,5,0
87,153,165,10,13,0
47,3,53,19,50,0
39,112,192,8,7,0
58,136,492,5,39,0
37,102,322,18,42,1
45,150,326,2,66,1
80,142,162,2,43,0
83,175,80,6,35,1
95,28,451,22,32,0
87,37,115,21,37,1
44,1,423,22,48,1
81,126,384,15,46,1
44,161,292,19,29,1
92,130,147,11,43,1
85,110,158,13,68,0
41,42,266,8,46,0
96,17,340,5,12,0
37,194,393,14,46,0
27,103,173,18,20,1
18,69,66,3,56,1
30,93,423,13,10,0
45,1,159,19,56,1
58,136,167,11,20,1
91,185,117,19,38,0
38,81,79,7,37,1
97,164,258,17,48,1
15,99,223,2,8,1
97,29,100,3,18,1
53,13,382,23,20,1
67,150,266,7,37,0
45,127,209,15,9,1
36,130,174,14,64,1
81,36,293,1,17,0
45,59,207,8,31,0
22,41,281,16,58,1
87,51,99,7,32,0
94,165,219,3,34,1
41,9,172,7,68,1
56,30,373,17,30,0
55,46,292,3,8,0
38,5,380,11,7,0
90,175,86,16,9,0
98,83,394,10,55,0
14,55,467,8,60,1
85,184,424,9,40,1
25,120,333,2,59,0
21,40,274,22,24,1
79,55,90,14,35,1
13,168,85,3,42,0
74,118,114,2,21,0
99,57,403,1,15,1
20,76,171,22,56,0
78,196,231,11,55,1
78,153,351,18,22,0
15,197,490,6,23,0
24,199,475,11,16,1
69,200,289,13,12,1
58,117,298,4,46,0
53,131,415,9,39,0
64,36,152,13,58,1
35,64,331,3,23,1
31,96,270,23,28,1
63,68,496,16,47,1
89,185,412,17,49,0
23,69,499,15,48,1
